Latein;Englisch;Deutsch
Accipiter nisus;Eurasian Sparrowhawk;Sperber
Anthus trivialis;Tree Pipit;Baumpieper
Bombycilla garrulus;Bohemian Waxwing;Seidenschwanz
Bonasa bonasia;Hazel Grouse;Haselhuhn
Carduelis spinus;Eurasian Siskin;Erlenzeisig
Certhia brachydactyla;Short-toed Treecreeper;Gartenbauml‰ufer
Certhia familiaris;Eurasian Treecreeper;Waldbauml‰ufer
Coccothraustes coccothraustes;Hawfinch;Kernbeiﬂer
Columba oenas;Stock Dove;Hohltaube
Cyanopica cyanus;not in BirdNet;Blauelster
Dendrocopos medius;not in BirdNet;Mittelspecht
Dendrocopos minor;not in BirdNet;Kleinspecht
Dryocopus martius;Black Woodpecker;Schwarzspecht
Emberiza rustica;Rustic Bunting;Waldammer
Ficedula albicollis;Collared Flycatcher;Halsbandschn‰pper
Ficedula hypoleuca;European Pied Flycatcher;Trauerschn‰pper
Garrulus glandarius;Eurasian Jay;Eichelh‰her
Nucifraga caryocatactes;Spotted Nutcracker;Tannenh‰her
Parus ater;Coal Tit;Tannenmeise
Parus cristatus;European Crested Tit;Haubenmeise
Parus montanus;Willow Tit;Weidenmeise
Parus palustris;Marsh Tit;Sumpfmeise
Phoenicurus phoenicurus;Common Redstart;Gartenrotschwanz
Phylloscopus bonelli;Western Bonelliís Warbler;Berglaubens‰nger
Phylloscopus collybita;Common Chiffchaff;Zilpzalp
Phylloscopus sibilatrix;Wood Warbler;Waldlaubens‰nger
Picus canus;Grey-headed Woodpecker;Grauspecht
Pyrrhula pyrrhula;Eurasian Bullfinch;Gimpel
Regulus ignicapilla;Common Firecrest;Sommergoldh‰hnchen
Regulus regulus;Goldcrest;Wintergoldh‰hnchen
Serinus citrinella;Citril Finch;Zitronenzeisig
Sitta europaea;Eurasian Nuthatch;Kleiber
Tringa ochropus;Green Sandpiper;Waldwasserl‰ufer
Turdus viscivorus;Mistle Thrush;Misteldrossel
